label,DOY,date,time,PA,T_PA,altitude,TA,ch4_dry,CO2_dry,h20,EC_2,SWC_2,TS_2,volume_tot,latitude,longitude,Fch4,Fch4_dCdt,Fch4_r2,Fch4_cv,Fch4_c0,Fch4_cx,Fch4_a,Fch4_t0,Fch4_sei,Fch4_lin,Fch4_lin_dCdt,Fch4_lin_r2,Fch4_lin_cv,Fch4_lin_se,Fch4_lin_ssn,Fco2_c0,Fco2,Fco2_dCdt,Fco2_r2,Fco2_cv,Fco2_cx,Fco2_a,Fco2_t0,Fco2_sei,Fco2_ses,Fco2_lin,Fco2_lin_dCdt,Fco2_lin_r2,Fco2_lin_cv,Fco2_lin_se,type
BIE10_nee,151.54382,2023/05/31,13:03:06,90.51,36.04715,1014.1,24.31257,7578.741,483.59,22.458,0.021,0.755,21.9,29572.42,46.9831,6.72483,794.78484,49.57953,0.99606,1.17849,7578.74091,11891.19065,0.0115,-29.459,7.54223,255.14997,15.91653,0.97788,1.94318,0.2482,-9999,483.58836,2.21816,0.13837,0.95893,1.98115,526.04237,0.00326,-17.86141,0.16005,0.00222,1.65859,0.10346,0.95674,2.49118,0.00228,nee
BIE10_nee,206.53257,2023/07/25,12:46:54,89.78,29.34583,1015.1,18.94636,1980.438,487.9,20.579,0.006,0.099,18.2,32872.42,46.9831,6.72482,-1.95168,-0.10822,0.9975,1.27999,1980.43818,0,5e-5,0,0.18477,-1.95168,-0.10822,0.9975,1.27999,5.6e-4,-9999,487.89891,3.87802,0.21504,0.98408,1.53584,574.50228,0.00248,-42.38096,0.15408,0.00214,2.92437,0.16216,0.983,1.7968,0.00221,nee
BIE10_nee,227.45212,2023/08/15,10:51:03,90.91,34.01317,1008,21.36073,1975.873,569.03,22.968,0.009,0.115,21.1,33532.42,46.9831,6.7248,-1.67284,-0.09076,0.99621,1.321,1975.87273,0,5e-5,0,0.06889,-1.67284,-0.09076,0.99621,1.321,5.8e-4,-9999,569.03355,3.58759,0.19465,0.50482,7.77065,743.7654,0.00111,50,1.07692,0.01496,3.7587,0.20393,0.98981,1.56302,0.00215,nee
BIE10_nee,249.43791,2023/09/06,10:30:35,91.02,34.07934,1011.1,20.26089,2177.162,606.78,22.579,0.003,0.028,18.9,33862.42,46.9831,6.72482,-1.97494,-0.10555,0.99747,1.26764,2177.16227,0,5e-5,0,0.10223,-1.97494,-0.10555,0.99747,1.26764,5.5e-4,-9999,606.78173,4.44622,0.23762,0.9942,1.4005,1000000,0,0,12.20602,0.00188,4.44622,0.23762,0.9942,1.4005,0.00188,nee
BIE10_nee,270.50383,2023/09/27,12:05:31,90.98,29.34961,1012.2,16.52966,2091.19,494.95,13.744,0.018,0.411,15.4,32542.42,46.9831,6.72483,-1.26519,-0.06887,0.99531,1.35798,2091.19045,0,3e-5,0,0.42096,-1.26519,-0.06887,0.99531,1.35798,4.9e-4,-9999,494.95245,3.99906,0.21768,0.38952,4.39218,540.92143,0.00474,-50,0.6641,0.00922,2.05173,0.11168,0.96241,2.3532,0.00229,nee
BIE10_nee,305.45266,2023/11/01,10:51:50,89.7,17.8608,1002,5.18162,2497.749,527.12,8.993,0.028,0.781,5.5,30892.42,46.9831,6.72483,1.85194,0.10299,0.99746,1.28682,2497.74864,1000000,0,0,0.96292,1.85194,0.10299,0.99746,1.28682,5.4e-4,-9999,527.1195,-0.56142,-0.03122,0.72173,6.54532,0,6e-5,0,0.30531,0.00201,-0.56142,-0.03122,0.72173,6.54532,0.00201,nee
BIE10_nee,173.5167,2023/06/22,12:24:03,90.79,34.61783,1010.3,22.4392,2016.513,496.11,20.332,0.028,0.498,21.9,30892.42,46.9831,6.72486,11.79126,0.69607,0.99954,1.16942,2016.51273,2221.86094,0.00339,-5.67452,0.08577,9.08411,0.53626,0.99751,1.26775,0.00278,-9999,496.10809,5.59718,0.33042,0.9936,1.36669,688.96991,0.00171,-7.21513,0.17313,0.0024,4.89322,0.28886,0.99307,1.44507,0.0025,nee
BIE10_respi,151.54194,2023/05/31,13:00:24,90.5,35.68873,1013.5,22.94793,13700.473,490.99,24.537,0.021,0.763,22.1,29572.42,46.9831,6.72482,1608.82726,100.12232,0.78272,1.70034,13700.47273,17503.58587,0.02633,8.15883,89.62217,341.77277,21.26958,0.68216,7.17263,1.50551,-9999,490.99432,4.6135,0.28711,0.98796,1.47109,579.89127,0.00323,-1.86849,0.18703,0.0026,3.64271,0.2267,0.98571,1.70412,0.00283,respi
BIE10_respi,173.51369,2023/06/22,12:19:43,90.78,34.40009,1011.3,22.53579,2067.72,498.79,21.597,0.028,0.502,22.4,30892.42,46.9831,6.72484,24.12662,1.42669,0.99988,1.16091,2067.72045,2772.1953,0.00203,-10.140930000000001,0.09901,20.44897,1.20922,0.99923,1.19203,0.00347,-9999,498.79277,12.80635,0.75728,0.99867,1.20301,936.23279,0.00173,-7.28062,0.17985,0.0025,11.17575,0.66086,0.99815,1.23993,0.00295,respi
BIE10_respi,206.53008,2023/07/25,12:43:19,89.79,28.48486,1014.8,16.80223,1982.553,506.75,19.048,0.006,0.099,17.5,32872.42,46.9831,6.72482,-2.01949,-0.11098,0.99731,1.28834,1982.55273,0,6e-5,0,0.33250999999999997,-2.01949,-0.11098,0.99731,1.28834,6e-4,-9999,506.74941,12.43137,0.68314,0.99876,1.2124,910.63692,0.00169,-14.99431,0.15554,0.00216,10.74002,0.5902,0.99825,1.24816,0.00256,respi
